"Device Name","WEATHER - 2719569"
"Device Model","5500L"
"Serial Number","2719569"
"FORMATTED DATE_TIME","Temperature","Wet Bulb Temp","Relative Humidity","Barometric Pressure","Altitude","Station Pressure","Wind Speed","Heat Index","Dew Point","Density Altitude","Crosswind","Headwind","Compass Magnetic Direction","Compass True Direction","Wind Chill","Data Type","Record name","Start time","Duration (H:M:S)","Location description","Location address","Location coordinates","Notes"
"YYYY-MM-DD HH:MM:SS","°C","°C","%","mb","m","mb","km/h","°C","°C","m","km/h","km/h","Deg","Deg","°C"
"2023-06-14 02:27:30 p. m.","22,1","13,3","39,1","883,5","1139","883,5","9,3","21,1","7,5","1693","0,7","-9,3","184","185","22,0","session"
"2023-06-14 02:28:00 p. m.","23,0","14,0","39,1","883,5","1139","883,5","6,9","21,9","8,4","1728","0,6","-6,8","185","185","23,0","session"
"2023-06-14 02:28:30 p. m.","23,1","14,0","38,4","883,4","1140","883,4","10,3","22,0","8,2","1731","0,9","-10,3","184","184","23,1","session"
"2023-06-14 02:29:00 p. m.","22,3","13,3","38,0","883,4","1139","883,4","7,4","21,2","7,3","1702","0,9","-7,3","187","187","22,3","session"
"2023-06-14 02:29:30 p. m.","21,0","12,4","38,2","883,4","1139","883,4","9,4","19,8","6,2","1654","0,8","-9,4","184","185","21,0","session"
"2023-06-14 02:30:00 p. m.","21,6","13,0","39,6","883,4","1139","883,4","3,4","20,7","7,3","1676","0,3","-3,4","183","184","21,5","session"
"2023-06-14 02:30:30 p. m.","20,8","12,5","39,6","883,5","1139","883,5","8,2","19,6","6,6","1647","0,5","-8,2","183","183","20,8","session"
"2023-06-14 02:31:00 p. m.","22,6","13,9","40,2","883,5","1139","883,5","8,2","21,6","8,4","1715","0,2","-8,2","181","181","22,6","session"
"2023-06-14 02:31:30 p. m.","22,7","13,9","39,5","883,5","1139","883,5","6,4","21,6","8,2","1716","0,0","-6,4","179","180","22,6","session"
"2023-06-14 02:32:00 p. m.","22,0","13,2","38,9","883,4","1139","883,4","6,3","21,1","7,4","1693","0,3","-6,3","182","183","22,0","session"
